epoch,step,train_loss,gen_mse,sharpness,eig_1,eig_2,eig_3,eig_4,eig_5,eig_6,layer_frob_1,layer_frob_2,layer_frob_3,layer_frob_4
1,1,13.182168960571289,52.906646728515625,45.81719970703125,188.8667755126953,91.47351837158203,9.990387916564941,2.2783312797546387,0.5845834612846375,0.1457122266292572,0.7556160092353821,54.472625732421875,70.1257553100586,91.1731948852539
5,5,4.508169174194336,57.380523681640625,26.426177978515625,494.68438720703125,129.0967559814453,22.141767501831055,7.274360179901123,1.6006114482879639,0.5129888653755188,2.285496950149536,115.2656021118164,157.33251953125,242.48866271972656
10,10,1.5122835636138916,63.488624572753906,44.5506477355957,696.3998413085938,169.79563903808594,31.501741409301758,13.306328773498535,2.520922899246216,0.7980363368988037,4.246165752410889,168.36761474609375,213.95899963378906,347.52117919921875
15,15,1.3763008117675781,64.16233825683594,47.83193588256836,738.9413452148438,189.61611938476562,33.73271942138672,14.891886711120605,2.893874168395996,0.8782047629356384,5.175099849700928,204.21722412109375,226.08807373046875,345.0648498535156
20,20,1.273011565208435,64.23987579345703,50.379486083984375,776.3827514648438,210.18080139160156,35.851322174072266,16.168550491333008,3.2609100341796875,0.9622536897659302,6.345612525939941,246.6188201904297,235.2291717529297,332.94805908203125
25,25,1.1695003509521484,64.2916488647461,53.5026969909668,822.8908081054688,233.95559692382812,38.48847579956055,17.619213104248047,3.667506217956543,1.0722112655639648,7.978260040283203,298.5001525878906,244.6022186279297,320.43505859375
30,30,1.0653636455535889,64.34561920166016,57.3348388671875,880.333251953125,261.2460021972656,41.73154067993164,19.29817771911621,4.108863830566406,1.2126576900482178,10.189183235168457,361.0595397949219,254.25051879882812,308.1949462890625
35,35,0.961118221282959,64.40399169921875,61.93077850341797,949.7266845703125,292.15716552734375,45.62216567993164,21.245895385742188,4.577759742736816,1.3864779472351074,13.104131698608398,435.1524658203125,264.0830993652344,296.455810546875
40,40,0.8577881455421448,64.46778106689453,67.30712890625,1031.59619140625,326.64788818359375,50.172603607177734,23.50124168395996,5.069336414337158,1.5952502489089966,16.856725692749023,521.1602783203125,274.01300048828125,285.3901672363281
45,45,0.7566916346549988,64.53748321533203,73.44215393066406,1125.9193115234375,364.5264892578125,55.368927001953125,26.091840744018555,5.5819478034973145,1.8394221067428589,21.57863426208496,618.9082641601562,283.9671630859375,275.12213134765625
50,50,0.6593388319015503,64.61319732666016,80.27825927734375,1232.101318359375,405.4501037597656,61.173919677734375,29.027183532714844,6.115780830383301,2.1184487342834473,27.385648727416992,727.6353149414062,293.88922119140625,265.73077392578125
55,55,0.5673564076423645,64.69468688964844,87.72344970703125,1348.947509765625,448.91888427734375,67.52595520019531,32.294647216796875,6.670541763305664,2.4306466579437256,34.35911560058594,845.97607421875,303.7329406738281,257.2588806152344
60,60,0.48237234354019165,64.78146362304688,95.65147399902344,1474.6339111328125,494.27191162109375,74.33583068847656,35.85688018798828,7.243510723114014,2.7728657722473145,42.524532318115234,971.9539184570312,313.4515075683594,249.72023010253906
65,65,0.40584641695022583,64.8726577758789,103.90388488769531,1606.7220458984375,540.698486328125,81.48524475097656,39.6506233215332,7.828718662261963,3.1398515701293945,51.832271575927734,1103.0247802734375,322.9881896972656,243.1042022705078
