epoch,train_loss,gen_mse,sharpness,sharpness_2,proj_step,proj_cum,eig_1,eig_2
1,0.5688709020614624,0.5265972018241882,2.969869613647461,-0.7415628433227539,0.0,0.0,95.21942138671875,19.647804260253906
5,0.12834858894348145,3.5426948070526123,9.707769393920898,7.607957363128662,0.37863653898239136,0.37863653898239136,274.1829833984375,227.4519805908203
10,0.34107574820518494,2.589714765548706,12.090644836425781,2.54864501953125,0.13956043124198914,0.5628752708435059,297.1510314941406,75.36244201660156
15,0.3091241717338562,1.7638944387435913,5.916204452514648,2.507887840270996,0.45937275886535645,0.42430633306503296,161.16775512695312,93.90150451660156
20,0.08184010535478592,1.630697250366211,5.738399982452393,2.543363571166992,0.2683604657649994,0.529888391494751,164.96261596679688,88.6371841430664
25,0.05453287810087204,1.5078530311584473,4.960518836975098,2.648549795150757,0.26730430126190186,0.3887377083301544,138.14744567871094,97.78904724121094
30,0.033007342368364334,1.436650276184082,4.7374701499938965,2.868422508239746,0.21556514501571655,0.4624393582344055,143.94264221191406,96.52513885498047
35,0.01921788789331913,1.3819609880447388,4.32661247253418,2.955587863922119,0.17057061195373535,0.3104289770126343,127.44770812988281,103.93673706054688
40,0.012002618983387947,1.3653134107589722,4.3194475173950195,3.119558334350586,0.13937826454639435,0.3991456627845764,135.8074951171875,101.40879821777344
45,0.0072301351465284824,1.3280504941940308,4.05444860458374,3.1643524169921875,0.10825497657060623,0.21551921963691711,124.52295684814453,106.49604034423828
50,0.00472064595669508,1.323767900466919,4.1077985763549805,3.2464799880981445,0.08798617124557495,0.3281906247138977,131.69776916503906,103.5779037475586
55,0.0030886747408658266,1.2969683408737183,3.9307003021240234,3.266115188598633,0.0687805786728859,0.10533715039491653,124.35822296142578,106.57356262207031
60,0.002203463576734066,1.2977532148361206,4.006420135498047,3.297214984893799,0.05459016188979149,0.2634892463684082,129.62322998046875,104.36551666259766
65,0.0016336762346327305,1.2782014608383179,3.88881778717041,3.301508903503418,0.04259578883647919,0.012014694511890411,125.00760650634766,105.92080688476562
70,0.0013124241959303617,1.280094027519226,3.959475517272949,3.308549404144287,0.033347081393003464,0.21778574585914612,128.5712890625,104.46043395996094
75,0.0011054165661334991,1.2657015323638916,3.881873607635498,3.305173873901367,0.025996709242463112,0.05168299749493599,125.69273376464844,105.18746185302734
80,0.0009826233144849539,1.2671281099319458,3.937208414077759,3.303417921066284,0.020304378122091293,0.19050981104373932,128.03884887695312,104.23628234863281
85,0.0009015709511004388,1.2563806772232056,3.8861773014068604,3.297010660171509,0.015862170606851578,0.09215323626995087,126.24712371826172,104.5179672241211
90,0.000849784875754267,1.2568882703781128,3.9262592792510986,3.2923903465270996,0.01242387667298317,0.17604979872703552,127.78446960449219,103.87454223632812
95,0.0008134767413139343,1.2486774921417236,3.8928704261779785,3.2851219177246094,0.009747955948114395,0.11801128834486008,126.67269134521484,103.92301940917969
