epoch,train_loss,gen_mse,sharpness,sharpness_2,proj_step,proj_cum,eig_1,eig_2,spec_1,spec_2,spec_3,spec_4
1,0.9753116965293884,1.0223828554153442,5.571843147277832,2.2966346740722656,0.0,0.0,178.48956298828125,62.8100471496582,4.51453161239624,1.115671157836914,1.1462591886520386,0.48989811539649963
5,0.8707253932952881,1.0751973390579224,6.636168479919434,2.827932596206665,0.030501268804073334,0.030501268804073334,218.63381958007812,92.92143249511719,4.517967224121094,1.1165424585342407,1.145438313484192,0.5455532670021057
10,0.7468429803848267,1.1060206890106201,10.075510025024414,5.462893486022949,0.0074500334449112415,0.04458468034863472,328.51568603515625,173.54522705078125,4.52572774887085,1.1159565448760986,1.1462428569793701,0.6605087518692017
15,0.5825147032737732,1.0838788747787476,16.394084930419922,10.188539505004883,0.005554533563554287,0.04319349676370621,532.0625,320.78704833984375,4.541260719299316,1.1169424057006836,1.157313585281372,0.8186624646186829
20,0.3509337902069092,1.359776258468628,33.81343078613281,21.54918098449707,0.07840275764465332,0.18847569823265076,1069.2869873046875,673.921142578125,4.566044807434082,1.1205942630767822,1.225520372390747,1.019240379333496
25,0.7969568371772766,1.0242924690246582,4.504586219787598,2.4731717109680176,0.059661053121089935,0.07983873039484024,149.1369171142578,69.02918243408203,4.544635772705078,1.150244116783142,1.1529943943023682,0.7948206067085266
30,0.318047434091568,1.201147198677063,13.969392776489258,10.093561172485352,0.009090621024370193,0.04264114052057266,445.6358642578125,316.5555419921875,4.552556991577148,1.1896671056747437,1.2170509099960327,1.0025612115859985
35,0.08264701068401337,1.569166660308838,22.965641021728516,15.8197021484375,0.00757497176527977,0.02678796276450157,722.9166870117188,512.4314575195312,4.577615261077881,1.2329955101013184,1.2966341972351074,1.1780723333358765
40,0.026857763528823853,1.7982064485549927,27.866470336914062,17.807239532470703,0.012770372442901134,0.01458791084587574,880.5053100585938,599.453857421875,4.592092990875244,1.2550849914550781,1.3382196426391602,1.2617385387420654
45,0.22692565619945526,2.366071939468384,34.04297637939453,15.314729690551758,0.12390021234750748,0.4184022843837738,1019.2767944335938,400.28778076171875,4.606784343719482,1.280657172203064,1.3573482036590576,1.2640365362167358
50,0.028536375612020493,1.5898618698120117,19.39092254638672,13.256847381591797,0.2513733506202698,0.007214497774839401,628.4212646484375,432.0886535644531,4.596022129058838,1.2985515594482422,1.3514084815979004,1.2643046379089355
55,0.023640019819140434,1.7394086122512817,22.333614349365234,14.0244779586792,0.0606592632830143,0.22875380516052246,733.7794189453125,462.9831237792969,4.5987653732299805,1.3125826120376587,1.3667240142822266,1.2917793989181519
60,0.06493107974529266,1.67744779586792,22.468257904052734,11.900733947753906,0.10028126090765,0.20861433446407318,686.1455078125,406.8804931640625,4.597934246063232,1.322117567062378,1.358524203300476,1.2909197807312012
65,0.06749634444713593,1.7120234966278076,22.057506561279297,11.733861923217773,0.13262644410133362,0.30460354685783386,718.906005859375,407.4443664550781,4.597141742706299,1.3328925371170044,1.3700345754623413,1.2921873331069946
70,0.04535812512040138,1.6640437841415405,20.71954345703125,12.02729606628418,0.12167298048734665,0.17409247159957886,643.7967529296875,403.7183532714844,4.5951433181762695,1.3430132865905762,1.3631259202957153,1.29331374168396
75,0.03660662844777107,1.7195876836776733,21.2396297454834,12.349039077758789,0.10493342578411102,0.2590939402580261,699.5872192382812,420.45770263671875,4.594182968139648,1.3480056524276733,1.3719459772109985,1.2975175380706787
80,0.03125022351741791,1.6843469142913818,20.471242904663086,12.3676176071167,0.09547311067581177,0.14692772924900055,648.6944580078125,411.801025390625,4.592349529266357,1.3562976121902466,1.36506986618042,1.2970185279846191
85,0.02737530693411827,1.7247567176818848,20.865070343017578,12.544190406799316,0.08842002600431442,0.23319828510284424,694.1328125,430.8575439453125,4.591541290283203,1.3588281869888306,1.3714916706085205,1.2992868423461914
90,0.02411710098385811,1.6926400661468506,20.30316162109375,12.526002883911133,0.0824514850974083,0.12558631598949432,647.9454345703125,417.6065368652344,4.590027332305908,1.3656584024429321,1.365307092666626,1.298574447631836
95,0.021612580865621567,1.7252202033996582,20.629070281982422,12.63901424407959,0.07686659693717957,0.21116116642951965,681.5277099609375,426.81500244140625,4.589450359344482,1.367032766342163,1.3706241846084595,1.3003309965133667
100,0.019377321004867554,1.6966356039047241,20.16094970703125,12.561902046203613,0.07216536998748779,0.1086336001753807,647.8241577148438,420.2142333984375,4.5882768630981445,1.3727812767028809,1.3650790452957153,1.2996896505355835
105,0.01775059849023819,1.7236981391906738,20.507526397705078,12.683784484863281,0.06783604621887207,0.1929888278245926,677.0252685546875,425.319580078125,4.587918758392334,1.3735122680664062,1.369696021080017,1.30120849609375
110,0.01645575650036335,1.697776198387146,20.14806365966797,12.64409351348877,0.06447543948888779,0.09431643784046173,650.2105712890625,422.7039489746094,4.586990833282471,1.3784626722335815,1.3647290468215942,1.3006131649017334
115,0.015365497209131718,1.7207142114639282,20.4198055267334,12.688539505004883,0.061388127505779266,0.17963749170303345,664.5982666015625,417.42535400390625,4.586780548095703,1.378732442855835,1.3689098358154297,1.3018901348114014
120,0.014455078169703484,1.6970175504684448,20.131736755371094,12.684943199157715,0.058904580771923065,0.08323398977518082,644.6033325195312,416.8037414550781,4.586036205291748,1.3830839395523071,1.3643500804901123,1.3013124465942383
125,0.0136488638818264,1.7171916961669922,20.339189529418945,12.68601131439209,0.056368786841630936,0.1685020476579666,661.7432861328125,417.3053283691406,4.585945129394531,1.3829963207244873,1.3682090044021606,1.3023905754089355
130,0.012830700725317001,1.695647954940796,20.055044174194336,12.663276672363281,0.05408645421266556,0.0733502209186554,644.6947631835938,416.14996337890625,4.585322380065918,1.3868275880813599,1.3640384674072266,1.3018264770507812
135,0.0121184466406703,1.7136375904083252,20.274921417236328,12.711532592773438,0.05149875953793526,0.15655645728111267,659.3131103515625,419.3902587890625,4.585270404815674,1.3864654302597046,1.3675235509872437,1.3027219772338867
140,0.011419014073908329,1.6940839290618896,20.005794525146484,12.661945343017578,0.04924453794956207,0.06416191160678864,645.851806640625,416.7153015136719,4.584740161895752,1.3898301124572754,1.363664150238037,1.302154779434204
145,0.010852576233446598,1.7099179029464722,20.242931365966797,12.741133689880371,0.04694228246808052,0.1458096206188202,659.268310546875,420.23822021484375,4.584715366363525,1.3893247842788696,1.3668103218078613,1.3029134273529053
150,0.010364607907831669,1.691843867301941,20.02902603149414,12.689128875732422,0.0451095812022686,0.05731772258877754,646.73193359375,418.39703369140625,4.584258556365967,1.3923677206039429,1.3632434606552124,1.3023678064346313
155,0.010013294406235218,1.7058333158493042,20.227426528930664,12.755952835083008,0.04353094846010208,0.13884392380714417,661.3386840820312,422.5174255371094,4.58427619934082,1.3917866945266724,1.3661280870437622,1.3030272722244263
160,0.009660019539296627,1.6888874769210815,20.03915786743164,12.667603492736816,0.042245350778102875,0.05318174138665199,648.6314697265625,419.0185241699219,4.583876132965088,1.3945976495742798,1.3627753257751465,1.3025460243225098
165,0.009384632110595703,1.7015953063964844,20.208080291748047,12.767602920532227,0.04103172570466995,0.132407084107399,662.5186767578125,424.12591552734375,4.58393669128418,1.3939486742019653,1.3654870986938477,1.3031504154205322
170,0.009138571098446846,1.6856530904769897,20.04729461669922,12.666635513305664,0.04004384204745293,0.049350425601005554,650.8009643554688,422.3564758300781,4.583570957183838,1.3965636491775513,1.3623188734054565,1.3026988506317139
175,0.008915947750210762,1.697463870048523,20.18905258178711,12.746463775634766,0.03907018527388573,0.12718094885349274,661.711669921875,423.5460510253906,4.5836591720581055,1.39584481716156,1.3649154901504517,1.3032468557357788
180,0.008703887462615967,1.6824007034301758,20.046964645385742,12.661956787109375,0.03819425776600838,0.04619006812572479,651.3934326171875,421.4912109375,4.583338737487793,1.3982945680618286,1.3619002103805542,1.302824854850769
185,0.008524151518940926,1.6935017108917236,20.163063049316406,12.7517671585083,0.037399038672447205,0.12232278287410736,658.91455078125,421.2882385253906,4.583446502685547,1.397514820098877,1.3643747568130493,1.3033198118209839
190,0.00836295448243618,1.6792802810668945,20.060375213623047,12.65530776977539,0.0366985984146595,0.04388244077563286,648.400390625,418.3017883300781,4.583136081695557,1.3998137712478638,1.3614749908447266,1.3028998374938965
195,0.008180229924619198,1.6895947456359863,20.124467849731445,12.720176696777344,0.03592963144183159,0.1178729385137558,657.571044921875,419.96527099609375,4.58325719833374,1.398992657661438,1.3638463020324707,1.303334355354309
200,0.008012698031961918,1.6762179136276245,20.067310333251953,12.660022735595703,0.0351467989385128,0.041711434721946716,649.362060546875,419.2344970703125,4.5829548835754395,1.401181697845459,1.361076831817627,1.3029494285583496
205,0.00785172637552023,1.6858841180801392,20.126874923706055,12.732122421264648,0.03442786633968353,0.11378245055675507,657.7974243164062,420.164306640625,4.583081245422363,1.4003431797027588,1.3633408546447754,1.3033534288406372
210,0.007732365280389786,1.673183798789978,20.06432342529297,12.666203498840332,0.0338246151804924,0.039589207619428635,648.585205078125,418.3917541503906,4.5827956199646,1.4024332761764526,1.3606688976287842,1.302991509437561
215,0.007590193301439285,1.682300329208374,20.120914459228516,12.728151321411133,0.033220674842596054,0.11061874777078629,657.21923828125,420.31201171875,4.582931995391846,1.4015778303146362,1.362850308418274,1.3033695220947266
220,0.0074720741249620914,1.6701951026916504,20.053085327148438,12.66526985168457,0.03264772891998291,0.0373690240085125,646.14990234375,416.90802001953125,4.582662582397461,1.403579592704773,1.36027193069458,1.3030364513397217
225,0.007342534139752388,1.678777813911438,20.110231399536133,12.73223876953125,0.03205089643597603,0.10704323649406433,659.34326171875,425.1230773925781,4.582802772521973,1.402716040611267,1.3623690605163574,1.3033943176269531
230,0.007232282776385546,1.6672481298446655,20.05582046508789,12.667649269104004,0.03149132430553436,0.0361492745578289,646.3685302734375,416.9123840332031,4.58254337310791,1.4046448469161987,1.3598870038986206,1.3031011819839478
235,0.007114286068826914,1.6752923727035522,20.10122299194336,12.73057746887207,0.03093656152486801,0.10361678153276443,658.9931030273438,424.41046142578125,4.582697868347168,1.4037870168685913,1.361911416053772,1.3034549951553345
240,0.007011572364717722,1.6643319129943848,20.048561096191406,12.65985107421875,0.030404934659600258,0.03504280000925064,645.845703125,416.1745300292969,4.582444667816162,1.4056423902511597,1.359520673751831,1.303199291229248
245,0.00689699687063694,1.6719160079956055,20.089412689208984,12.727677345275879,0.029858428984880447,0.10040245950222015,658.175537109375,423.882568359375,4.582596778869629,1.404788851737976,1.3614678382873535,1.3035391569137573
250,0.006798967719078064,1.6614837646484375,20.041601181030273,12.66772747039795,0.02934199571609497,0.03314422070980072,645.6699829101562,416.0264587402344,4.582346439361572,1.406572699546814,1.3591597080230713,1.303313970565796
255,0.006699204444885254,1.6686660051345825,20.086458206176758,12.730673789978027,0.02885616198182106,0.0970052182674408,656.330810546875,423.0283203125,4.582498550415039,1.4057217836380005,1.361037015914917,1.3036386966705322
260,0.00662429491057992,1.6586681604385376,20.057865142822266,12.677728652954102,0.02843991480767727,0.03228810802102089,645.221923828125,415.5338134765625,4.582254886627197,1.4074522256851196,1.3588052988052368,1.3034390211105347
265,0.0065445685759186745,1.665439486503601,20.07530403137207,12.720595359802246,0.02808419242501259,0.09462669491767883,655.9588623046875,423.3671875,4.582414150238037,1.4066177606582642,1.360634684562683,1.3037620782852173
270,0.006481286138296127,1.6558191776275635,20.057296752929688,12.67005729675293,0.027754435315728188,0.031678058207035065,648.0929565429688,416.4780578613281,4.5821757316589355,1.408311367034912,1.3584660291671753,1.3035982847213745
275,0.006410242523998022,1.6623172760009766,20.07798194885254,12.720609664916992,0.027444779872894287,0.09258455783128738,657.7706909179688,423.3468017578125,4.582335472106934,1.407473087310791,1.3602521419525146,1.3039143085479736
280,0.00635405583307147,1.6530240774154663,20.06729507446289,12.680500030517578,0.027156449854373932,0.03108186274766922,648.8455810546875,416.3344421386719,4.5821003913879395,1.4091241359710693,1.3581249713897705,1.3037649393081665
285,0.006289507728070021,1.6592785120010376,20.074665069580078,12.718876838684082,0.026897676289081573,0.09100363403558731,656.3316040039062,422.0375671386719,4.582261085510254,1.408284306526184,1.3598709106445312,1.3040759563446045
290,0.0062375315465033054,1.650244116783142,20.054805755615234,12.674226760864258,0.026648063212633133,0.03035959228873253,648.4324951171875,415.66632080078125,4.582032680511475,1.4099054336547852,1.3577845096588135,1.303946614265442
295,0.006174028851091862,1.6562814712524414,20.07646369934082,12.722824096679688,0.02637798897922039,0.08938205242156982,656.3175048828125,421.7684631347656,4.582187175750732,1.4090689420700073,1.3595023155212402,1.304257869720459
300,0.006126346532255411,1.6474987268447876,20.055530548095703,12.670654296875,0.026143010705709457,0.030302247032523155,649.43701171875,416.4534606933594,4.581962585449219,1.4106687307357788,1.3574564456939697,1.3041503429412842
305,0.006078172009438276,1.6533148288726807,20.081878662109375,12.732748031616211,0.025963369756937027,0.08806745707988739,654.6202392578125,421.0388488769531,4.582120895385742,1.4098389148712158,1.3591474294662476,1.3044615983963013
310,0.006041564047336578,1.6447598934173584,20.0634708404541,12.671127319335938,0.025816988199949265,0.03041362389922142,650.069580078125,417.05181884765625,4.581896781921387,1.4114190340042114,1.357129454612732,1.304374098777771
315,0.006000842433422804,1.6503630876541138,20.090145111083984,12.733394622802734,0.025694144889712334,0.08699098229408264,654.9510498046875,421.8195495605469,4.582059860229492,1.4105854034423828,1.3588069677352905,1.304682970046997
320,0.005973289720714092,1.6419847011566162,20.070064544677734,12.667316436767578,0.025606278330087662,0.030470730736851692,650.3892822265625,417.13623046875,4.581841468811035,1.412158489227295,1.3568141460418701,1.304611086845398
325,0.005933747626841068,1.647448182106018,20.083284378051758,12.735032081604004,0.025511061772704124,0.08593455702066422,654.5433349609375,421.49530029296875,4.582005977630615,1.4113173484802246,1.3584846258163452,1.3049184083938599
330,0.005907292477786541,1.639249324798584,20.073902130126953,12.672450065612793,0.025420308113098145,0.03079511597752571,649.10302734375,415.80609130859375,4.581785202026367,1.4128834009170532,1.356516718864441,1.304863691329956
335,0.005872640758752823,1.6445467472076416,20.082508087158203,12.736574172973633,0.025352178141474724,0.0850362554192543,653.5990600585938,421.0018005371094,4.581954479217529,1.412043809890747,1.3581875562667847,1.305172324180603
340,0.0058511244133114815,1.636530876159668,20.078800201416016,12.682062149047852,0.02530815079808235,0.03130148723721504,651.0120849609375,418.31451416015625,4.581727504730225,1.4136130809783936,1.3562378883361816,1.3051347732543945
345,0.005815624725073576,1.6417274475097656,20.079498291015625,12.733888626098633,0.025248399004340172,0.08369262516498566,653.0599975585938,420.49603271484375,4.581897258758545,1.412771463394165,1.357905387878418,1.3054434061050415
350,0.00579126225784421,1.6338783502578735,20.082382202148438,12.6843900680542,0.02517540380358696,0.03167415410280228,650.8387451171875,418.6756896972656,4.581668853759766,1.4143376350402832,1.3559675216674805,1.3054198026657104
355,0.005758261773735285,1.6389468908309937,20.07581329345703,12.740411758422852,0.025127816945314407,0.08274513483047485,651.1136474609375,420.21807861328125,4.5818400382995605,1.4134936332702637,1.3576257228851318,1.3057279586791992
360,0.005740765016525984,1.631274700164795,20.095029830932617,12.685983657836914,0.02508428320288658,0.03250112012028694,650.4395751953125,418.59521484375,4.581605434417725,1.4150662422180176,1.3556982278823853,1.3057230710983276
365,0.005711279343813658,1.636231780052185,20.072330474853516,12.743291854858398,0.025060061365365982,0.08220037817955017,651.188720703125,420.4024353027344,4.581780433654785,1.4142147302627563,1.3573541641235352,1.3060302734375
370,0.005694246385246515,1.6286643743515015,20.09886932373047,12.680740356445312,0.025034159421920776,0.03298942744731903,649.7973022460938,418.2152099609375,4.581547260284424,1.4157859086990356,1.3554298877716064,1.3060375452041626
