epoch,train_loss,gen_mse,sharpness,proj_step,proj_cum,eig_1,eig_2,eig_3,eig_4,eig_5,eig_6
1,0.5688709020614624,0.4610707759857178,2.8574540615081787,0.0,0.0,88.83914947509766,12.165228843688965,1.8559536933898926,0.20456542074680328,0.014650722034275532,0.0010463208891451359
5,0.20570813119411469,1.4594337940216064,4.865856170654297,0.05255807191133499,0.05255807191133499,165.8891143798828,100.83919525146484,12.149715423583984,1.2899373769760132,0.11801925301551819,0.009041493758559227
10,0.024402489885687828,2.5163381099700928,7.210665702819824,0.0023103728890419006,0.039522312581539154,231.8348388671875,176.1595001220703,19.7458553314209,2.2938594818115234,0.21296872198581696,0.016159143298864365
15,0.021397382020950317,2.388993740081787,7.163891315460205,4.077679477632046e-05,0.014817299321293831,230.8188934326172,174.6773223876953,19.482053756713867,2.301565647125244,0.20847508311271667,0.015178121626377106
20,0.018779030069708824,2.274893283843994,7.126941680908203,3.9110658690333366e-05,0.0024965573102235794,229.93234252929688,173.36761474609375,19.289562225341797,2.319218635559082,0.20654550194740295,0.014684313908219337
25,0.016475435346364975,2.172337293624878,7.097432613372803,3.199698403477669e-05,0.01653563231229782,229.21270751953125,172.2218780517578,19.16289710998535,2.3460981845855713,0.2069297432899475,0.014619573950767517
30,0.014441343024373055,2.0799343585968018,7.074517250061035,2.9241666197776794e-05,0.029146332293748856,228.68026733398438,171.21644592285156,19.094749450683594,2.381333351135254,0.20940110087394714,0.014942075125873089
35,0.012642757967114449,1.9965159893035889,7.057735919952393,2.7908594347536564e-05,0.041133612394332886,228.33953857421875,170.3304901123047,19.07764434814453,2.423969030380249,0.21375033259391785,0.015621335245668888
40,0.011052322573959827,1.921095609664917,7.04672908782959,2.6893801987171173e-05,0.0528060644865036,228.1853485107422,169.54800415039062,19.104442596435547,2.473005771636963,0.21978120505809784,0.016632717102766037
45,0.009647310711443424,1.852830171585083,7.0411272048950195,2.5688903406262398e-05,0.064236581325531,228.20663452148438,168.8567352294922,19.168479919433594,2.527418851852417,0.22730958461761475,0.017956474795937538
50,0.00840840209275484,1.7909953594207764,7.040524482727051,2.4299544747918844e-05,0.07538784295320511,228.38873291015625,168.24728393554688,19.263607025146484,2.5861878395080566,0.23614676296710968,0.01956935226917267
55,0.0073188068345189095,1.7349592447280884,7.044465065002441,2.2566004190593958e-05,0.08617889136075974,228.71458435058594,167.7122039794922,19.384185791015625,2.648322820663452,0.24611739814281464,0.021450158208608627
60,0.006363649852573872,1.6841672658920288,7.052447319030762,2.0650855731219053e-05,0.09651698172092438,229.1656036376953,167.24549865722656,19.52509117126465,2.712885618209839,0.25703781843185425,0.02356638014316559
65,0.005529498681426048,1.6381279230117798,7.063938140869141,1.8642720533534884e-05,0.10631678253412247,229.72239685058594,166.84217834472656,19.68168067932129,2.7790005207061768,0.26873186230659485,0.025889426469802856
70,0.004804063588380814,1.5964031219482422,7.078386306762695,1.656211679801345e-05,0.115510493516922,230.3655242919922,166.49789428710938,19.849807739257812,2.8458733558654785,0.2810254991054535,0.028382128104567528
75,0.004175983835011721,1.5585986375808716,7.095240116119385,1.4555655070580542e-05,0.1240500658750534,231.07591247558594,166.20872497558594,20.02577781677246,2.912785291671753,0.2937442362308502,0.031004777178168297
